Price,address,Local_area,zipcode,beds,baths,sqft,url
325000,86 E Zinnia Pl,San Tan Valley,85143,3,2,1402,https://www.zillow.com/homedetails/86-E-Zinnia-Pl-San-Tan-Valley-AZ-85143/60140879_zpid/
189000,2733 S Player Ave,Sierra Vista,85650,3,2,1627,https://www.zillow.com/homedetails/2733-S-Player-Ave-Sierra-Vista-AZ-85650/2069536856_zpid/
425000,2820 E Carla Vista Dr,Chandler,85225,3,2,1623,https://www.zillow.com/homedetails/2820-E-Carla-Vista-Dr-Chandler-AZ-85225/8284277_zpid/
385000,6105 Winchester Dr,Prescott Valley,86314,3,2,1461,https://www.zillow.com/homedetails/6105-Winchester-Dr-Prescott-Valley-AZ-86314/8732424_zpid/
240000,2109 W Rose Garden Ln,Phoenix,85027,3,2,1092,https://www.zillow.com/homedetails/2109-W-Rose-Garden-Ln-Phoenix-AZ-85027/7970917_zpid/
700000,1810 E Willetta St,Phoenix,85006,3,3,2076,https://www.zillow.com/homedetails/1810-E-Willetta-St-Phoenix-AZ-85006/7528786_zpid/
384900,10101 N Arabian Trl UNIT 2043,Scottsdale,85258,2,2,1076,https://www.zillow.com/homedetails/10101-N-Arabian-Trl-UNIT-2043-Scottsdale-AZ-85258/50180614_zpid/
390900,936 W Summit Pl,Chandler,85225,2,2,1170,https://www.zillow.com/homedetails/936-W-Summit-Pl-Chandler-AZ-85225/8200144_zpid/
575000,19344 W Oregon Ave,Litchfield Park,85340,4,3,2985,https://www.zillow.com/homedetails/19344-W-Oregon-Ave-Litchfield-Park-AZ-85340/95080258_zpid/
1399000,25008 S 195th St,Queen Creek,85142,5,4,3855,https://www.zillow.com/homedetails/25008-S-195th-St-Queen-Creek-AZ-85142/95137492_zpid/
250000,8680 E Desert Spring St,Tucson,85730,3,2,1577,https://www.zillow.com/homedetails/8680-E-Desert-Spring-St-Tucson-AZ-85730/8555195_zpid/
544900,3289 E Carla Vista Dr,Gilbert,85295,4,3,2356,https://www.zillow.com/homedetails/3289-E-Carla-Vista-Dr-Gilbert-AZ-85295/82825110_zpid/
269900,8511 W Altos Dr,Arizona City,85123,3,2,1401,https://www.zillow.com/homedetails/8511-W-Altos-Dr-Arizona-City-AZ-85123/67423450_zpid/
295000,14961 S Theodore Roosevelt Way,Sahuarita,85629,3,2,1615,https://www.zillow.com/homedetails/14961-S-Theodore-Roosevelt-Way-Sahuarita-AZ-85629/59832989_zpid/
339995,11029 W Granada Dr,Sun City,85373,4,2,1679,https://www.zillow.com/homedetails/11029-W-Granada-Dr-Sun-City-AZ-85373/8093683_zpid/
425000,129 S Becker Lake Rd,Springerville,85938,6,4,2664,https://www.zillow.com/homedetails/129-S-Becker-Lake-Rd-Springerville-AZ-85938/7350915_zpid/
350000,1837 S Rockwell St,Gilbert,85295,3,2,1742,https://www.zillow.com/homedetails/1837-S-Rockwell-St-Gilbert-AZ-85295/81971600_zpid/
425000,3865 E Garden Ln,Cottonwood,86326,3,2,1665,https://www.zillow.com/homedetails/3865-E-Garden-Ln-Cottonwood-AZ-86326/112360887_zpid/
399900,18182 W Fulton St,Goodyear,85338,4,3,2139,https://www.zillow.com/homedetails/18182-W-Fulton-St-Goodyear-AZ-85338/300108985_zpid/
525000,816 N Emery,Mesa,85207,3,2,2144,https://www.zillow.com/homedetails/816-N-Emery-Mesa-AZ-85207/60049376_zpid/
199000,2743 S 17th Ave,Yuma,85364,3,2,1254,https://www.zillow.com/homedetails/2743-S-17th-Ave-Yuma-AZ-85364/8798853_zpid/
250000,9650 S Leon Ranch Rd,Vail,85641,3,2,1815,https://www.zillow.com/homedetails/9650-S-Leon-Ranch-Rd-Vail-AZ-85641/52486306_zpid/
299900,2678 E Turkey Run Rd,Pinetop,85935,2,1,645,https://www.zillow.com/homedetails/2678-E-Turkey-Run-Rd-Pinetop-AZ-85935/8413059_zpid/
449000,223 Pineveta Rd,Ash Fork,86320,2,3,1729,https://www.zillow.com/homedetails/223-Pineveta-Rd-Ash-Fork-AZ-86320/2093856622_zpid/
132000,325 Pennsylvania Ave,Patagonia,85624,2,1,1088,https://www.zillow.com/homedetails/325-Pennsylvania-Ave-Patagonia-AZ-85624/2112765700_zpid/
799000,1032 E Wagon Wheel Dr,Prescott,86303,2,3,2278,https://www.zillow.com/homedetails/1032-E-Wagon-Wheel-Dr-Prescott-AZ-86303/82017057_zpid/
850000,3419 N 63rd Pl,Scottsdale,85251,3,2,2230,https://www.zillow.com/homedetails/3419-N-63rd-Pl-Scottsdale-AZ-85251/7567830_zpid/
292200,25738 W Saint Catherine Ave,Buckeye,85326,3,2,1326,https://www.zillow.com/homedetails/25738-W-Saint-Catherine-Ave-Buckeye-AZ-85326/67797513_zpid/
335000,45025 N Zorrillo Dr,Phoenix,85087,4,2,2178,https://www.zillow.com/homedetails/45025-N-Zorrillo-Dr-Phoenix-AZ-85087/7928633_zpid/
530000,22610 N Via Tercero,Sun City West,85375,3,3,2525,https://www.zillow.com/homedetails/22610-N-Via-Tercero-Sun-City-West-AZ-85375/8121773_zpid/
310000,8129 S Carbury Way,Tucson,85747,3,2,1738,https://www.zillow.com/homedetails/8129-S-Carbury-Way-Tucson-AZ-85747/8580616_zpid/
239000,170 County Road 3158,Vernon,85940,2,2,1340,https://www.zillow.com/homedetails/170-County-Road-3158-Vernon-AZ-85940/2070529249_zpid/
355900,41175 N Rose Ln,San Tan Valley,85140,4,2,2000,https://www.zillow.com/homedetails/41175-N-Rose-Ln-San-Tan-Valley-AZ-85140/67434569_zpid/
379900,11423 W Crimson Ln,Avondale,85392,4,3,2205,https://www.zillow.com/homedetails/11423-W-Crimson-Ln-Avondale-AZ-85392/7472490_zpid/
295000,7044 S Petrel Ln,Tucson,85756,4,3,2889,https://www.zillow.com/homedetails/7044-S-Petrel-Ln-Tucson-AZ-85756/67134062_zpid/
850000,11781 N Luzon Ct,Tucson,85737,5,3,3637,https://www.zillow.com/homedetails/11781-N-Luzon-Ct-Tucson-AZ-85737/239253685_zpid/
120000,400 W Baseline Rd SPACE 212,Tempe,85283,3,2,1500,https://www.zillow.com/homedetails/400-W-Baseline-Rd-SPACE-212-Tempe-AZ-85283/2070520505_zpid/
350000,16327 W Latham St,Goodyear,85338,3,3,1773,https://www.zillow.com/homedetails/16327-W-Latham-St-Goodyear-AZ-85338/240305895_zpid/
427000,2331 W Darrel Rd,Phoenix,85041,3,3,2055,https://www.zillow.com/homedetails/2331-W-Darrel-Rd-Phoenix-AZ-85041/58883276_zpid/
515000,4647 S Romano,Mesa,85212,4,2,2302,https://www.zillow.com/homedetails/4647-S-Romano-Mesa-AZ-85212/88795482_zpid/
449000,3257 E Silversmith Trl,San Tan Valley,85143,4,2,2199,https://www.zillow.com/homedetails/3257-E-Silversmith-Trl-San-Tan-Valley-AZ-85143/67436503_zpid/
619900,7233 W Via Montoya Dr,Glendale,85310,5,2,2394,https://www.zillow.com/homedetails/7233-W-Via-Montoya-Dr-Glendale-AZ-85310/7881218_zpid/
385000,13036 N 56th Ave,Glendale,85304,3,2,1916,https://www.zillow.com/homedetails/13036-N-56th-Ave-Glendale-AZ-85304/7896784_zpid/
475000,2706 W Monte Ave,Mesa,85202,3,2,1649,https://www.zillow.com/homedetails/2706-W-Monte-Ave-Mesa-AZ-85202/8251209_zpid/
115000,2310 E Lass Ave,Kingman,86409,3,2,1040,https://www.zillow.com/homedetails/2310-E-Lass-Ave-Kingman-AZ-86409/8385069_zpid/
294000,37683 W Bello Ln,Maricopa,85138,3,2,1556,https://www.zillow.com/homedetails/37683-W-Bello-Ln-Maricopa-AZ-85138/185847873_zpid/
720000,6155 N 186th Ave,Waddell,85355,4,3,2542,https://www.zillow.com/homedetails/6155-N-186th-Ave-Waddell-AZ-85355/8307705_zpid/
319000,2092 Roy Rogers Way,Kingman,86409,3,2,1763,https://www.zillow.com/homedetails/2092-Roy-Rogers-Way-Kingman-AZ-86409/67815108_zpid/
360000,201 Johnson Ln,Young,85554,7,4,3050,https://www.zillow.com/homedetails/201-Johnson-Ln-Young-AZ-85554/2069612241_zpid/
390000,8801 W Edgemont Ave,Phoenix,85037,4,3,2212,https://www.zillow.com/homedetails/8801-W-Edgemont-Ave-Phoenix-AZ-85037/7473764_zpid/
330000,968 Calle Robalo,Rio Rico,85648,4,3,2422,https://www.zillow.com/homedetails/968-Calle-Robalo-Rio-Rico-AZ-85648/108311391_zpid/
325000,46 County Road 8149,Concho,85924,3,2,1792,https://www.zillow.com/homedetails/46-County-Road-8149-Concho-AZ-85924/2069525935_zpid/
199900,5605 E Labrador Ln,Hereford,85615,4,3,2230,https://www.zillow.com/homedetails/5605-E-Labrador-Ln-Hereford-AZ-85615/304675969_zpid/
595000,6410 W Avenida Del Rey,Phoenix,85083,5,3,3126,https://www.zillow.com/homedetails/6410-W-Avenida-Del-Rey-Phoenix-AZ-85083/7925950_zpid/
425000,27 County Road 2048,Alpine,85920,2,2,1557,https://www.zillow.com/homedetails/27-County-Road-2048-Alpine-AZ-85920/7347823_zpid/
160000,4445 E Accidental Ln,Prescott,86303,4,4,3600,https://www.zillow.com/homedetails/4445-E-Accidental-Ln-Prescott-AZ-86303/8752361_zpid/
794900,1573 Gettysvue Way,Prescott,86301,3,3,2532,https://www.zillow.com/homedetails/1573-Gettysvue-Way-Prescott-AZ-86301/55632469_zpid/
489900,4716 E Cloudburst Dr,Gilbert,85297,4,2,1773,https://www.zillow.com/homedetails/4716-E-Cloudburst-Dr-Gilbert-AZ-85297/61630363_zpid/
225000,132 E Taylor Ave,Coolidge,85128,4,2,1209,https://www.zillow.com/homedetails/132-E-Taylor-Ave-Coolidge-AZ-85128/185785356_zpid/
270000,17232 N 16th Ave,Phoenix,85023,3,2,1106,https://www.zillow.com/homedetails/17232-N-16th-Ave-Phoenix-AZ-85023/7965122_zpid/
315000,1528 W Corona Ave,Phoenix,85041,4,2,1350,https://www.zillow.com/homedetails/1528-W-Corona-Ave-Phoenix-AZ-85041/7501977_zpid/
140000,11383 N Dill St,Portal,85632,3,2,1680,https://www.zillow.com/homedetails/11383-N-Dill-St-Portal-AZ-85632/2129870458_zpid/
1520000,3139 E Bellflower Ct,Gilbert,85298,5,4,5003,https://www.zillow.com/homedetails/3139-E-Bellflower-Ct-Gilbert-AZ-85298/95186279_zpid/
329990,2539 E Camino St,Mesa,85213,3,2,1306,https://www.zillow.com/homedetails/2539-E-Camino-St-Mesa-AZ-85213/7636781_zpid/
303000,10219 W Luxton Ln,Tolleson,85353,3,2,1397,https://www.zillow.com/homedetails/10219-W-Luxton-Ln-Tolleson-AZ-85353/71619063_zpid/
455000,2691 Saratoga Ave,Lake Havasu City,86406,3,3,2571,https://www.zillow.com/homedetails/2691-Saratoga-Ave-Lake-Havasu-City-AZ-86406/8330930_zpid/
359000,3215 E Menadota Dr,Phoenix,85050,3,2,1012,https://www.zillow.com/homedetails/3215-E-Menadota-Dr-Phoenix-AZ-85050/7992720_zpid/
365000,1527 W 2nd St,Mesa,85201,3,2,1322,https://www.zillow.com/homedetails/1527-W-2nd-St-Mesa-AZ-85201/7610624_zpid/
1525000,1015 E Hattie Greene,Flagstaff,86001,4,3,3423,https://www.zillow.com/homedetails/1015-E-Hattie-Greene-Flagstaff-AZ-86001/64953738_zpid/
239000,8594 N Cantora Way,Tucson,85743,3,2,1118,https://www.zillow.com/homedetails/8594-N-Cantora-Way-Tucson-AZ-85743/8640301_zpid/
675000,29103 N 152nd Dr,Surprise,85387,3,3,2835,https://www.zillow.com/homedetails/29103-N-152nd-Dr-Surprise-AZ-85387/64669613_zpid/
300000,6426 E Boldin Dr,Tucson,85756,4,3,2173,https://www.zillow.com/homedetails/6426-E-Boldin-Dr-Tucson-AZ-85756/97415860_zpid/
269900,3018 W Laquila Aerie,Tucson,85742,3,2,1485,https://www.zillow.com/homedetails/3018-W-Laquila-Aerie-Tucson-AZ-85742/8631796_zpid/
250000,6941 E Rivercrest Rd,Tucson,85750,3,2,1995,https://www.zillow.com/homedetails/6941-E-Rivercrest-Rd-Tucson-AZ-85750/8471139_zpid/
350000,9700 N Camino Del Grillo,Tucson,85742,3,2,1697,https://www.zillow.com/homedetails/9700-N-Camino-Del-Grillo-Tucson-AZ-85742/8624028_zpid/
450000,1122 S Una Ave,Tempe,85281,3,2,1364,https://www.zillow.com/homedetails/1122-S-Una-Ave-Tempe-AZ-85281/7585263_zpid/
270000,504 S 7th St,Buckeye,85326,3,2,1127,https://www.zillow.com/homedetails/504-S-7th-St-Buckeye-AZ-85326/8287031_zpid/
17750,2650 W Union Hills Dr #118,Phoenix,85027,2,1,910,https://www.zillow.com/homedetails/2650-W-Union-Hills-Dr-118-Phoenix-AZ-85027/2072060904_zpid/
305000,9987 W Monterosa Ave,Phoenix,85037,3,2,1189,https://www.zillow.com/homedetails/9987-W-Monterosa-Ave-Phoenix-AZ-85037/7484545_zpid/
347000,4640 N Montezuma Ave,Rimrock,86335,2,2,1613,https://www.zillow.com/homedetails/4640-N-Montezuma-Ave-Rimrock-AZ-86335/8768831_zpid/
199990,66 County Road 8113,Concho,85924,3,2,1184,https://www.zillow.com/homedetails/66-County-Road-8113-Concho-AZ-85924/2070299990_zpid/
849900,1987 W Fresh Aire St,Flagstaff,86001,4,3,3099,https://www.zillow.com/homedetails/1987-W-Fresh-Aire-St-Flagstaff-AZ-86001/64956560_zpid/
598000,410 Barnwood Trl,Munds Park,86017,4,4,2811,https://www.zillow.com/homedetails/410-Barnwood-Trl-Munds-Park-AZ-86017/7377817_zpid/
295000,2683 S Ave 7 3/4 E,Yuma,85365,4,3,1650,https://www.zillow.com/homedetails/2683-S-Ave-7-3-4-E-Yuma-AZ-85365/2132188331_zpid/
130000,4800 N 68th St UNIT 262,Scottsdale,85251,1,1,624,https://www.zillow.com/homedetails/4800-N-68th-St-UNIT-262-Scottsdale-AZ-85251/7844734_zpid/
159900,789 S Jefferson St,Coolidge,85128,2,2,840,https://www.zillow.com/homedetails/789-S-Jefferson-St-Coolidge-AZ-85128/55504650_zpid/
398900,10023 N Laurelwood Dr,Tucson,85737,4,2,1805,https://www.zillow.com/homedetails/10023-N-Laurelwood-Dr-Tucson-AZ-85737/8622524_zpid/
900000,26218 N 47th Dr,Phoenix,85083,3,3,3041,https://www.zillow.com/homedetails/26218-N-47th-Dr-Phoenix-AZ-85083/55263005_zpid/
345000,43850 W Kramer Ln,Maricopa,85138,4,2,1884,https://www.zillow.com/homedetails/43850-W-Kramer-Ln-Maricopa-AZ-85138/71683011_zpid/
160000,3605 W Bethany Home Rd APT 15,Phoenix,85019,3,2,1260,https://www.zillow.com/homedetails/3605-W-Bethany-Home-Rd-APT-15-Phoenix-AZ-85019/2142826892_zpid/
450000,64483 E Sugar Ln,Saddlebrooke,85739,2,3,2424,https://www.zillow.com/homedetails/64483-E-Sugar-Ln-Saddlebrooke-AZ-85739/8689073_zpid/
60000,7255 S Cole Ln,Hereford,85615,3,2,1706,https://www.zillow.com/homedetails/7255-S-Cole-Ln-Hereford-AZ-85615/7391386_zpid/
949000,7131 E Indigo St,Mesa,85207,3,4,2872,https://www.zillow.com/homedetails/7131-E-Indigo-St-Mesa-AZ-85207/68538338_zpid/
409900,1148 N California St,Chandler,85225,4,2,1568,https://www.zillow.com/homedetails/1148-N-California-St-Chandler-AZ-85225/8189485_zpid/
179900,319 N 88th Pl,Mesa,85207,3,3,1346,https://www.zillow.com/homedetails/319-N-88th-Pl-Mesa-AZ-85207/8071437_zpid/
410000,8906 E Calle Pasto,Tucson,85715,3,3,2217,https://www.zillow.com/homedetails/8906-E-Calle-Pasto-Tucson-AZ-85715/8524400_zpid/
1390000,10970 E Dale Ln,Scottsdale,85262,4,4,4659,https://www.zillow.com/homedetails/10970-E-Dale-Ln-Scottsdale-AZ-85262/8037991_zpid/
95000,814 N 82nd St #G207,Scottsdale,85257,2,1,888,https://www.zillow.com/homedetails/814-N-82nd-St-G207-Scottsdale-AZ-85257/2070306527_zpid/
1199000,21484 E Mewes Rd,Queen Creek,85142,6,4,5442,https://www.zillow.com/homedetails/21484-E-Mewes-Rd-Queen-Creek-AZ-85142/67783205_zpid/
212000,139 W Paseo Adobe,Green Valley,85614,2,2,2060,https://www.zillow.com/homedetails/139-W-Paseo-Adobe-Green-Valley-AZ-85614/8646051_zpid/
371000,873 N Deer Creek Dr,Payson,85541,2,2,1750,https://www.zillow.com/homedetails/873-N-Deer-Creek-Dr-Payson-AZ-85541/7441956_zpid/
179000,1130 E Morris Ln,Benson,85602,3,2,1459,https://www.zillow.com/homedetails/1130-E-Morris-Ln-Benson-AZ-85602/7410009_zpid/
499900,521 Monarch Cir,Lakeside,85929,3,2,1804,https://www.zillow.com/homedetails/521-Monarch-Cir-Lakeside-AZ-85929/71335056_zpid/
360000,7474 W Parnell Dr,Kirkland,86332,3,2,2175,https://www.zillow.com/homedetails/7474-W-Parnell-Dr-Kirkland-AZ-86332/63540526_zpid/
256399,14814 S Tampico Rd,Arizona City,85123,4,2,1485,https://www.zillow.com/homedetails/14814-S-Tampico-Rd-Arizona-City-AZ-85123/111043707_zpid/
415000,13623 E Aviara Pl,Vail,85641,4,2,2338,https://www.zillow.com/homedetails/13623-E-Aviara-Pl-Vail-AZ-85641/67138453_zpid/
300000,10914 W Saratoga Cir,Sun City,85351,3,2,1617,https://www.zillow.com/homedetails/10914-W-Saratoga-Cir-Sun-City-AZ-85351/7920168_zpid/
15000000,6121 N Nauni Valley Dr,Paradise Valley,85253,4,5,6200,https://www.zillow.com/homedetails/6121-N-Nauni-Valley-Dr-Paradise-Valley-AZ-85253/157726267_zpid/
205000,225 Paseo Montura,Rio Rico,85648,3,2,1273,https://www.zillow.com/homedetails/225-Paseo-Montura-Rio-Rico-AZ-85648/2069557303_zpid/
345990,"Loon Plan, Lucero at Estrella",Goodyear,85338,4,2,1613,https://www.zillow.com/community/lucero-at-estrella/2081357879_zpid/
235000,5953 E Grant Rd,Tucson,85712,2,2,1905,https://www.zillow.com/homedetails/5953-E-Grant-Rd-Tucson-AZ-85712/8454551_zpid/
225000,7801 N 44th Dr UNIT 1030,Glendale,85301,3,3,1386,https://www.zillow.com/homedetails/7801-N-44th-Dr-UNIT-1030-Glendale-AZ-85301/7724282_zpid/
799900,1780 Coyote Rd,Prescott,86303,4,3,2748,https://www.zillow.com/homedetails/1780-Coyote-Rd-Prescott-AZ-86303/8739892_zpid/
59000,27697 Santa Fe Ave,Bouse,85325,2,1,720,https://www.zillow.com/homedetails/27697-Santa-Fe-Ave-Bouse-AZ-85325/7455552_zpid/
365000,703 E Holmes Ave,Mesa,85204,3,2,1616,https://www.zillow.com/homedetails/703-E-Holmes-Ave-Mesa-AZ-85204/7629182_zpid/
735000,360 E Day Flower Dr,Oro Valley,85755,3,3,2336,https://www.zillow.com/homedetails/360-E-Day-Flower-Dr-Oro-Valley-AZ-85755/300513656_zpid/
995000,2044 William Palmer,Flagstaff,86005,3,3,2685,https://www.zillow.com/homedetails/2044-William-Palmer-Flagstaff-AZ-86005/7368612_zpid/
395000,1056 N Saguaro St,Chandler,85224,3,2,1587,https://www.zillow.com/homedetails/1056-N-Saguaro-St-Chandler-AZ-85224/8203278_zpid/
675000,8309 E Vernon Ave,Scottsdale,85257,3,2,2000,https://www.zillow.com/homedetails/8309-E-Vernon-Ave-Scottsdale-AZ-85257/7580710_zpid/
350000,6160 N Tower Ln,Prescott Valley,86314,3,2,1534,https://www.zillow.com/homedetails/6160-N-Tower-Ln-Prescott-Valley-AZ-86314/8732470_zpid/
799000,163 W Briarwood Ter,Phoenix,85045,5,4,3300,https://www.zillow.com/homedetails/163-W-Briarwood-Ter-Phoenix-AZ-85045/8134995_zpid/
325000,1223 E Grove St,Phoenix,85040,3,2,1331,https://www.zillow.com/homedetails/1223-E-Grove-St-Phoenix-AZ-85040/62726453_zpid/
510000,9836 N 181st Ave,Waddell,85355,5,3,3115,https://www.zillow.com/homedetails/9836-N-181st-Ave-Waddell-AZ-85355/71625192_zpid/
575000,3432 E Zion Way,Chandler,85249,3,2,2418,https://www.zillow.com/homedetails/3432-E-Zion-Way-Chandler-AZ-85249/94638223_zpid/
214900,4087 Quail Ave,Show Low,85901,2,2,1198,https://www.zillow.com/homedetails/4087-Quail-Ave-Show-Low-AZ-85901/134019873_zpid/
330000,130 Castle Rock Rd UNIT 20,Sedona,86351,2,2,1010,https://www.zillow.com/homedetails/130-Castle-Rock-Rd-UNIT-20-Sedona-AZ-86351/8771638_zpid/
346000,14311 N Sky Trl,Tucson,85755,2,2,1304,https://www.zillow.com/homedetails/14311-N-Sky-Trl-Tucson-AZ-85755/2069547924_zpid/
369900,252 E Refuge Loop,Vail,85641,4,3,2400,https://www.zillow.com/homedetails/252-E-Refuge-Loop-Vail-AZ-85641/97393646_zpid/
79900,16-123 N Star Vale Dr #A,Payson,85541,1,1,559,https://www.zillow.com/homedetails/16-123-N-Star-Vale-Dr-A-Payson-AZ-85541/2069542904_zpid/
250000,1176 E Cougar St,Munds Park,86017,3,2,980,https://www.zillow.com/homedetails/1176-E-Cougar-St-Munds-Park-AZ-86017/7379668_zpid/
385000,4419 N 57th Ave,Phoenix,85031,5,5,2141,https://www.zillow.com/homedetails/4419-N-57th-Ave-Phoenix-AZ-85031/7712692_zpid/
188500,704 S McLane Rd,Payson,85541,3,2,1336,https://www.zillow.com/homedetails/704-S-McLane-Rd-Payson-AZ-85541/7440298_zpid/
349500,17206 N 34th St,Phoenix,85032,3,2,1259,https://www.zillow.com/homedetails/17206-N-34th-St-Phoenix-AZ-85032/7998400_zpid/
